#{"t_start": 1733096099.8957553, "env_id": "None"}
r,l,t
-57.557858,512,4041.439022
-57.557858,512,4041.439032
-57.557858,512,4041.439039
-57.557858,512,4041.439046
-57.557858,512,4041.439052
-57.557858,512,4041.439059
-57.557858,512,4041.439065
-56.931614,512,4053.898547
-56.931614,512,4053.8986
-56.931614,512,4053.89861
-56.931614,512,4053.898617
-56.931614,512,4053.898624
-56.931614,512,4053.89863
-56.931614,512,4053.898637
-56.931614,512,4053.898643
-56.931145,512,4066.312301
-56.931145,512,4066.312354
-56.931145,512,4066.312363
-56.931145,512,4066.31237
-56.931145,512,4066.312377
-56.931145,512,4066.312384
-56.931145,512,4066.312391
-56.931145,512,4066.312397
-47.12346,512,4273.057373
-47.12346,512,4273.057432
-47.12346,512,4273.057441
-47.12346,512,4273.057449
-47.12346,512,4273.057455
-47.12346,512,4273.057462
-47.12346,512,4273.057468
-47.12346,512,4273.057475
-46.095226,512,4285.652632
-46.095226,512,4285.652683
-46.095226,512,4285.652691
-46.095226,512,4285.652699
-46.095226,512,4285.652705
-46.095226,512,4285.652712
-46.095226,512,4285.652719
-46.095226,512,4285.652725
-46.09517,512,4298.21347
-46.09517,512,4298.21352
-46.09517,512,4298.213529
-46.09517,512,4298.213536
-46.09517,512,4298.213543
-46.09517,512,4298.21355
-46.09517,512,4298.213557
-46.09517,512,4298.213563
-47.014698,512,4524.570414
-47.014698,512,4524.570467
-47.014698,512,4524.570477
-47.014698,512,4524.570484
-47.014698,512,4524.570491
-47.014698,512,4524.570498
-47.014698,512,4524.570504
-47.014698,512,4524.570511
-49.47758,512,4537.205894
-49.47758,512,4537.205944
-49.47758,512,4537.205953
-49.47758,512,4537.20596
-49.47758,512,4537.205966
-49.47758,512,4537.205973
-49.47758,512,4537.205979
-49.47758,512,4537.205986
-53.41684,512,4549.677511
-53.41684,512,4549.677565
-53.41684,512,4549.677574
-53.41684,512,4549.677584
-53.41684,512,4549.677593
-53.41684,512,4549.677601
-53.41684,512,4549.677609
-53.41684,512,4549.677616
-43.30194,512,4769.735092
-43.30194,512,4769.735153
-43.30194,512,4769.735162
-43.30194,512,4769.735171
-43.30194,512,4769.735179
-43.30194,512,4769.735185
-43.30194,512,4769.735192
-43.30194,512,4769.735198
-2.5312319,73,4772.116568
-2.5312319,73,4772.116618
-2.5312319,73,4772.116628
-2.5312319,73,4772.116636
-2.5312319,73,4772.116643
-2.5312319,73,4772.116649
-2.5312319,73,4772.116656
-2.5312319,73,4772.116663
