time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/std,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/n_updates,train/approx_kl,train/explained_variance,train/learning_rate,train/loss,train/value_loss,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,eval/mean_reward,eval/success_rate,eval/mean_ep_length
1172480,1145,412,2841,1.9063831567764282,0.73212890625,-0.07890176989603788,0.2,-17.73853462934494,11440,0.4717006,0.6084199845790863,0.00018448101570466428,-0.17374153435230255,0.03610579065134516,-126.24443054199219,0.11,477.93,,,
1173504,1146,412,2843,1.9152368307113647,0.69873046875,-0.070610958582256,0.2,-17.779306638240815,11450,0.5126165,0.34624552726745605,0.00018448101570466428,-0.12153968960046768,0.0575870045213378,-123.74305725097656,0.13,469.11,,,
1174528,1147,412,2846,1.91598641872406,0.70712890625,-0.07943401352968067,0.2,-17.80265258550644,11460,0.5952819,0.7118214070796967,0.00018448101570466428,-0.1724216789007187,0.029932771748281083,-124.02798461914062,0.13,469.11,,,
1175552,1148,412,2848,1.9100910425186157,0.7603515625,-0.09639120899373665,0.2,-17.78315427303314,11470,1.6973484,0.5942947864532471,0.00018448101570466428,-0.2033957839012146,0.02179252302448731,-122.41732788085938,0.15,464.09,,,
1176576,1149,412,2850,1.911314606666565,0.6892578125,-0.08428968045627698,0.2,-17.764065408706664,11480,0.4313391,0.35920387506484985,0.00018448101570466428,-0.15642781555652618,0.04617522340267897,-123.78804779052734,0.15,464.09,,,
1177600,1150,412,2853,1.9147953987121582,0.7333984375,-0.09453006270341575,0.2,-17.776839983463287,11490,0.41185194,0.9442592971026897,0.00018448101570466428,-0.1730165183544159,0.018163269452634266,-123.2725601196289,0.15,464.09,,,
1178624,1151,412,2855,1.9160066843032837,0.7046875,-0.09220122206024825,0.2,-17.785078763961792,11500,0.32113677,0.9788845535367727,0.00018448101570466428,-0.14765620231628418,0.012742042224272155,-123.46293640136719,0.15,464.09,,,
1179648,1152,412,2857,1.9154205322265625,0.72734375,-0.10574081416707486,0.2,-17.786940217018127,11510,0.43285507,0.9725158996880054,0.00018448101570466428,-0.20924074947834015,0.011343980638775975,-125.76837921142578,0.14,464.86,,,
1180672,1153,412,2859,1.9127529859542847,0.73056640625,-0.11685795633820817,0.2,-17.784709799289704,11520,0.44501287,0.9704681057482958,0.00018448101570466428,-0.2104499638080597,0.01110475356108509,-127.24470520019531,0.13,468.84,,,
1181696,1154,412,2862,1.9130741357803345,0.72119140625,-0.11032474329695105,0.2,-17.779261147975923,11530,0.47206044,0.8169378489255905,0.00018448101570466428,-0.1952928900718689,0.007478926719340961,-125.77326202392578,0.14,466.99,,,
1182720,1155,412,2864,1.9119678735733032,0.69404296875,-0.09343076791847124,0.2,-17.773658955097197,11540,0.46277606,0.6718514561653137,0.00018448101570466428,-0.17355391383171082,0.008822069139569066,-124.75077056884766,0.14,466.99,,,
1183744,1156,412,2866,1.915453553199768,0.7134765625,-0.10606103148311377,0.2,-17.774302852153777,11550,0.37760797,0.9046773910522461,0.00018448101570466428,-0.20096933841705322,0.004249663320661057,-123.86502838134766,0.14,466.99,,,
1184768,1157,413,2868,1.9115649461746216,0.708984375,-0.09646710228407755,0.2,-17.768374252319337,11560,0.33570954,0.8986615240573883,0.00018448101570466428,-0.177764892578125,0.005112660699523985,-122.5942611694336,0.14,466.99,,,
1185792,1158,412,2871,1.9103213548660278,0.7306640625,-0.1078747076448053,0.2,-17.749744129180907,11570,0.49571338,0.9740638565272093,0.00018448101570466428,-0.18036314845085144,0.004046897172520403,-120.81116485595703,0.15,462.74,,,
1186816,1159,413,2873,1.9099091291427612,0.70986328125,-0.0979000901861582,0.2,-17.741987943649292,11580,0.35471907,0.9693270530551672,0.00018448101570466428,-0.1873466819524765,0.0088320649243542,-120.05175018310547,0.15,462.74,,,
1187840,1160,413,2875,1.9053595066070557,0.722265625,-0.10451768592465668,0.2,-17.72604842185974,11590,0.3960485,0.9816253371536732,0.00018448101570466428,-0.1886749118566513,0.00555158667411888,-119.54818725585938,0.15,462.74,,,
1188864,1161,413,2877,1.9040881395339966,0.73056640625,-0.09772581571014598,0.2,-17.711442828178406,11600,0.5879185,0.9831506982445717,0.00018448101570466428,-0.2046326994895935,0.0028396583555149848,-120.34477233886719,0.15,462.74,,,
1189888,1162,413,2880,1.9069955348968506,0.70517578125,-0.09608192282030359,0.2,-17.715453827381133,11610,0.5086654,0.9407507590949535,0.00018448101570466428,-0.17339351773262024,0.0016517291776835918,-119.51024627685547,0.15,462.74,,,
1190912,1163,413,2882,1.9017325639724731,0.726953125,-0.10761209586635231,0.2,-17.708342266082763,11620,0.4595782,0.8600202202796936,0.00018448101570466428,-0.21182826161384583,0.003000507732940605,-119.44855499267578,0.15,463.73,,,
1191936,1164,413,2884,1.9060109853744507,0.7021484375,-0.07685788386734202,0.2,-17.6989462018013,11630,0.66653144,0.11732572317123413,0.00018448101570466428,-0.15860557556152344,0.03780244876834331,-117.4095687866211,0.17,460.48,,,
1192960,1165,413,2886,1.915770173072815,0.6744140625,-0.04936557449400425,0.2,-17.729552388191223,11640,0.75205237,0.42370301485061646,0.00018448101570466428,-0.09685768932104111,0.02305478521375335,-117.37300872802734,0.17,460.48,,,
1193984,1166,413,2889,1.9130092859268188,0.6599609375,-0.04871440047863871,0.2,-17.748327565193176,11650,0.37439448,0.9816806390881538,0.00018448101570466428,-0.07922930270433426,0.004308260018297006,-116.38609313964844,0.19,452.51,,,
1195008,1167,413,2891,1.925172209739685,0.7525390625,-0.09060832221293821,0.2,-17.760800623893736,11660,0.67632467,0.9199059829115868,0.00018448101570466428,-0.169380322098732,0.004946968078365898,-116.42001342773438,0.19,452.51,,,
1196032,1168,413,2894,1.9301670789718628,0.68876953125,-0.08533024542266503,0.2,-17.8006014585495,11670,0.4596709,0.9482553228735924,0.00018448101570466428,-0.16941779851913452,0.0045745546121906955,-116.12586975097656,0.2,449.85,,,
1197056,1169,413,2896,1.9444489479064941,0.71884765625,-0.06813144530169665,0.2,-17.841307365894316,11680,0.38504225,0.1451767086982727,0.00018448101570466428,-0.1453787386417389,0.03637122051004553,-113.55703735351562,0.22,444.74,,,
1198080,1170,413,2899,1.9468895196914673,0.71337890625,-0.07460024404572323,0.2,-17.885870027542115,11690,0.41093755,0.5800907909870148,0.00018448101570466428,-0.15119487047195435,0.015885604362119922,-111.52489471435547,0.24,437.42,,,
1199104,1171,413,2901,1.9536925554275513,0.73232421875,-0.1009411409497261,0.2,-17.90490801334381,11700,0.50152034,0.7142938077449799,0.00018448101570466428,-0.19891075789928436,0.03223452449019533,-110.23422241210938,0.25,432.8,,,
1200000,,,,1.9506734609603882,0.661328125,-0.06821307064965368,0.2,-17.925060093402863,11710,0.80293894,0.9493489265441895,0.00018448101570466428,-0.14072437584400177,0.011349650697957259,,,,-112.209716796875,0.1,475.25
1200128,1172,410,2920,,,,,,,,,,,,-108.44451141357422,0.25,432.8,,,
1201152,1173,411,2922,1.9475761651992798,0.6626953125,-0.042489386373199524,0.2,-17.910806393623353,11720,1.0074241,0.9782202020287514,0.00018448101570466428,-0.15973004698753357,0.008115574126713909,-108.85868835449219,0.24,434.53,,,
1202176,1174,410,2925,1.9485653638839722,0.7064453125,-0.07285159289604053,0.2,-17.905041539669035,11730,1.0219746,0.9639058597385883,0.00018448101570466428,-0.17270272970199585,0.006104185916774441,-107.59363555908203,0.27,426.57,,,
1203200,1175,410,2927,1.954254150390625,0.73583984375,-0.09093093791743741,0.2,-17.923937964439393,11740,0.7329375,0.7760624140501022,0.00018448101570466428,-0.2008182406425476,0.053770697451545856,-107.45333099365234,0.27,426.57,,,
1204224,1176,411,2929,1.9598108530044556,0.7087890625,-0.10197260164422914,0.2,-17.949722123146056,11750,0.4331719,0.9588900618255138,0.00018448101570466428,-0.1943901628255844,0.006000388942629798,-107.38845825195312,0.27,426.57,,,
1205248,1177,411,2931,1.9565495252609253,0.68515625,-0.08495533361565322,0.2,-17.94486461877823,11760,0.2996335,0.9429992660880089,0.00018448101570466428,-0.18131379783153534,0.01163446854625363,-107.97084045410156,0.27,426.57,,,
1206272,1178,411,2934,1.9564043283462524,0.71376953125,-0.10817971080541611,0.2,-17.929953515529633,11770,0.40857634,0.913638062775135,0.00018448101570466428,-0.1725367158651352,0.0051972666988149285,-106.65119171142578,0.27,426.57,,,
1207296,1179,411,2936,1.9522435665130615,0.71630859375,-0.09197657543700188,0.2,-17.918803191185,11780,0.47693712,0.9239982441067696,0.00018448101570466428,-0.19068218767642975,0.00643906301993411,-105.25411987304688,0.28,421.57,,,
1208320,1180,411,2938,1.9532190561294556,0.690625,-0.06153264954918995,0.2,-17.906645345687867,11790,0.8086591,0.8920044228434563,0.00018448101570466428,-0.1402415633201599,0.013536549734999426,-104.56975555419922,0.29,418.34,,,
1209344,1181,411,2940,1.9600025415420532,0.64375,-0.04051933107548393,0.2,-17.918810760974885,11800,0.5134841,0.9117662906646729,0.00018448101570466428,-0.13638071715831757,0.007471625487960409,-104.56755065917969,0.29,418.34,,,
1210368,1182,411,2943,1.9613535404205322,0.65947265625,-0.04550814101821743,0.2,-17.939865493774413,11810,0.5018145,0.9890559716150165,0.00018448101570466428,-0.09562051296234131,0.002285612853302155,-105.451416015625,0.29,418.34,,,
1211392,1183,411,2945,1.9650923013687134,0.72724609375,-0.0696021570940502,0.2,-17.938766837120056,11820,1.1215923,0.9778833389282227,0.00018448101570466428,-0.16130569577217102,0.0021238904209894827,-106.72624969482422,0.29,418.34,,,
1212416,1184,411,2947,1.9677804708480835,0.70927734375,-0.08782539286185057,0.2,-17.95580072402954,11830,0.8533752,0.963430117815733,0.00018448101570466428,-0.1465023308992386,0.004553594090975821,-104.89480590820312,0.29,418.34,,,
