time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,rollout/success_rate,train/approx_kl,train/explained_variance,train/std,train/loss,train/learning_rate,train/clip_fraction,train/value_loss,train/entropy_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
294912,257,1147,347.9452209472656,72,507.06,0.01,5.2390785,0.2851818799972534,0.010002044960856438,0.468765527009964,0.0004,0.5,0.46146097779273987,28.674251556396484,71,0.2,0.1353321992792189,,,
299008,257,1161,347.6654357910156,73,507.06,0.01,5.189595,0.7681070566177368,0.010001687332987785,0.4064772129058838,0.0004,0.5,0.4151775985956192,28.67445182800293,72,0.2,0.12368842121213675,,,
300000,,,,,,,3.7101536,0.6943094432353973,0.010001174174249172,0.5195823907852173,0.0004,0.5,0.782952070236206,28.674843788146973,73,0.2,0.13642447860911489,0.05,334.43035888671875,487.55
303104,251,1204,346.9436340332031,74,507.06,0.01,,,,,,,,,,,,,,
307200,252,1218,346.7463684082031,75,507.06,0.01,4.594739,0.7750170528888702,0.010000829584896564,0.5134935975074768,0.0004,0.49609375,0.5275405943393707,28.675230026245117,74,0.2,0.11279773782007396,,,
311296,252,1233,343.2760925292969,76,502.13,0.02,6.007059,0.8107241839170456,0.010000579990446568,0.44978344440460205,0.0004,0.5,0.4028390794992447,28.675498008728027,75,0.2,0.1264161579310894,,,
315392,252,1247,339.30877685546875,77,497.23,0.03,5.7208915,0.5838620662689209,0.010000177659094334,0.41275259852409363,0.0004,0.49609375,0.39526505768299103,28.675790786743164,76,0.2,0.11592969950288534,,,
319488,253,1261,342.3565368652344,78,502.17,0.02,5.086866,0.6307245492935181,0.009999725967645645,0.5117745399475098,0.0004,0.498046875,0.4990459978580475,28.676176071166992,77,0.2,0.12348496168851852,,,
323584,253,1275,341.7908630371094,79,502.17,0.02,6.0996623,0.777859166264534,0.009999069385230541,0.41959238052368164,0.0004,0.5,0.33413830399513245,28.676673889160156,78,0.2,0.127878422383219,,,
327680,254,1289,341.9521484375,80,502.17,0.02,7.58114,0.7159622311592102,0.009998470544815063,0.4272962510585785,0.0004,0.498046875,0.371269091963768,28.677237510681152,79,0.2,0.11993089970201254,,,
331776,254,1303,341.5176696777344,81,502.17,0.02,10.470266,0.7349437177181244,0.009997816756367683,0.4353068768978119,0.0004,0.498046875,0.3365178257226944,28.677802085876465,80,0.2,0.13330730702728033,,,
335872,254,1317,341.90643310546875,82,502.17,0.02,15.3750515,0.6207721531391144,0.00999717228114605,0.4257105588912964,0.0004,0.498046875,0.35335779190063477,28.678386688232422,81,0.2,0.1191211435943842,,,
339968,255,1331,342.09490966796875,83,502.17,0.02,12.874769,0.8480543941259384,0.009996439330279827,0.5205978155136108,0.0004,0.5,0.3790668100118637,28.67900562286377,82,0.2,0.1667439192533493,,,
344064,255,1346,342.64898681640625,84,502.17,0.02,13.480276,0.7433059215545654,0.009995874017477036,0.40963560342788696,0.0004,0.5,0.2741813361644745,28.67958927154541,83,0.2,0.13517253287136555,,,
348160,255,1360,342.698974609375,85,502.17,0.02,10.362233,0.8412189185619354,0.009995234198868275,0.47699522972106934,0.0004,0.5,0.33210289478302,28.68013286590576,84,0.2,0.15800053719431162,,,
350000,,,,,,,7.956666,0.7522647678852081,0.009994907304644585,2.1255581378936768,0.0004,0.498046875,0.1916428580880165,28.68056869506836,85,0.2,1.0153847122564912,0.0,350.46405029296875,512.0
352256,251,1401,343.052001953125,86,502.17,0.02,,,,,,,,,,,,,,
356352,251,1415,342.16015625,87,502.17,0.02,5.8898563,0.8877140879631042,0.00999448075890541,0.3912028670310974,0.0004,0.49609375,0.2596480995416641,28.680907249450684,86,0.2,0.13774730637669563,,,
360448,252,1430,341.3397521972656,88,502.17,0.02,13.487789,0.9478344209492207,0.009994006715714931,0.4517982006072998,0.0004,0.5,0.18564894795417786,28.681312561035156,87,0.2,0.1891693165525794,,,
364544,252,1444,348.20550537109375,89,512.0,0.0,9.327694,0.9239790439605713,0.009993510320782661,0.35804927349090576,0.0004,0.5,0.19501733034849167,28.681750297546387,88,0.2,0.14269569306634367,,,
368640,252,1458,347.3773498535156,90,512.0,0.0,7.5822663,0.8621152192354202,0.009993013925850391,0.422163724899292,0.0004,0.5,0.21549784392118454,28.682198524475098,89,0.2,0.16360727325081825,,,
372736,253,1472,346.9388732910156,91,512.0,0.0,13.179985,0.8902089223265648,0.009992284700274467,0.3723437190055847,0.0004,0.5,0.16131475567817688,28.682750701904297,90,0.2,0.15438542887568474,,,
376832,253,1486,345.9581298828125,92,512.0,0.0,10.396797,0.9000252410769463,0.009991559199988842,0.35131195187568665,0.0004,0.5,0.16916979849338531,28.683406829833984,91,0.2,0.14247888326644897,,,
380928,253,1500,345.741455078125,93,512.0,0.0,8.347506,0.778833270072937,0.009990962222218513,0.3297980725765228,0.0004,0.49609375,0.15189504623413086,28.68400478363037,92,0.2,0.12255454249680042,,,
